Lookback,Sharpe,Train Start,Train End
1,-0.4066663699546306,2000-01-03,2005-01-03
2,-0.8872244633886851,2000-01-03,2005-01-03
4,-0.2688807936178341,2000-01-03,2005-01-03
8,0.01764556156035436,2000-01-03,2005-01-03
13,-0.05088688105891312,2000-01-03,2005-01-03
26,-0.21867478004224147,2000-01-03,2005-01-03
1,-0.09013891893447112,2001-01-03,2006-01-03
2,-0.7016137954568785,2001-01-03,2006-01-03
4,-0.1667657257704463,2001-01-03,2006-01-03
8,0.22812959794975302,2001-01-03,2006-01-03
13,0.04589844612091733,2001-01-03,2006-01-03
26,0.337985327226092,2001-01-03,2006-01-03
1,0.14056960764633522,2002-01-03,2007-01-03
2,-0.33553984630029365,2002-01-03,2007-01-03
4,0.2563623270592209,2002-01-03,2007-01-03
8,0.26673750753121733,2002-01-03,2007-01-03
13,0.10694175229986283,2002-01-03,2007-01-03
26,0.28536364496254046,2002-01-03,2007-01-03
1,0.14354269460096508,2003-01-03,2008-01-03
2,-0.14416989552252948,2003-01-03,2008-01-03
4,0.366912066637258,2003-01-03,2008-01-03
8,0.45321949507209336,2003-01-03,2008-01-03
13,0.4375922021139517,2003-01-03,2008-01-03
26,0.28761459926347505,2003-01-03,2008-01-03
1,-0.2502394721333578,2004-01-03,2009-01-03
2,-0.23998010520259774,2004-01-03,2009-01-03
4,0.16290873224903313,2004-01-03,2009-01-03
8,-0.10033021784972887,2004-01-03,2009-01-03
13,0.06968145902437739,2004-01-03,2009-01-03
26,-0.035587411216052224,2004-01-03,2009-01-03
1,-0.8674587371772863,2005-01-03,2010-01-03
2,-0.39732799691558957,2005-01-03,2010-01-03
4,-0.02694063513595008,2005-01-03,2010-01-03
8,0.043441977296424725,2005-01-03,2010-01-03
13,-0.25521360079650884,2005-01-03,2010-01-03
26,-0.5105388438242896,2005-01-03,2010-01-03
1,-0.7789563151312495,2006-01-03,2011-01-03
2,-0.4781874966697578,2006-01-03,2011-01-03
4,-0.33786646292861144,2006-01-03,2011-01-03
8,-0.131527710338128,2006-01-03,2011-01-03
13,-0.20977886454052547,2006-01-03,2011-01-03
26,-0.5986281375964541,2006-01-03,2011-01-03
1,-0.6235211731631137,2007-01-03,2012-01-03
2,-0.34095961780060463,2007-01-03,2012-01-03
4,-0.3623331671301522,2007-01-03,2012-01-03
8,-0.02813191710925193,2007-01-03,2012-01-03
13,-0.04437473923387101,2007-01-03,2012-01-03
26,-0.6593092979120427,2007-01-03,2012-01-03
1,-0.7944069038177867,2008-01-03,2013-01-03
2,-0.4880067679355943,2008-01-03,2013-01-03
4,-0.3995340551984367,2008-01-03,2013-01-03
8,-0.31263472724466396,2008-01-03,2013-01-03
13,-0.3917289939031906,2008-01-03,2013-01-03
26,-0.7835996157929914,2008-01-03,2013-01-03
1,-0.3756233472056094,2009-01-03,2014-01-03
2,-0.02797632850490857,2009-01-03,2014-01-03
4,0.25511321780767837,2009-01-03,2014-01-03
8,0.09725799667159546,2009-01-03,2014-01-03
13,-0.1282211420845911,2009-01-03,2014-01-03
26,-0.06436101827474923,2009-01-03,2014-01-03
1,-0.17479915826438638,2010-01-03,2015-01-03
2,-0.0005775140311898088,2010-01-03,2015-01-03
4,0.24780271665731668,2010-01-03,2015-01-03
8,0.27861587754187844,2010-01-03,2015-01-03
13,-0.0925413395302534,2010-01-03,2015-01-03
26,-0.356446307307313,2010-01-03,2015-01-03
1,-0.33446168610068405,2011-01-03,2016-01-03
2,-0.3348166341091636,2011-01-03,2016-01-03
4,0.3335423272796892,2011-01-03,2016-01-03
8,-0.02472136946926193,2011-01-03,2016-01-03
13,0.12659718558191155,2011-01-03,2016-01-03
26,-0.2007223325159838,2011-01-03,2016-01-03
1,-0.24983070592701084,2012-01-03,2017-01-03
2,-0.12296731352223578,2012-01-03,2017-01-03
4,0.8665952187925549,2012-01-03,2017-01-03
8,0.3904806349231096,2012-01-03,2017-01-03
13,0.4719416356420175,2012-01-03,2017-01-03
26,0.34541054654368586,2012-01-03,2017-01-03
1,-0.036137608535158704,2013-01-03,2018-01-03
2,-0.23504058467378763,2013-01-03,2018-01-03
4,0.6928725977372466,2013-01-03,2018-01-03
8,0.40499301375730357,2013-01-03,2018-01-03
13,0.42528588930403627,2013-01-03,2018-01-03
26,0.3103973108096528,2013-01-03,2018-01-03
1,-0.5597057857941803,2014-01-03,2019-01-03
2,-0.43282143859804956,2014-01-03,2019-01-03
4,0.31324901204355105,2014-01-03,2019-01-03
8,-0.15325782867136906,2014-01-03,2019-01-03
13,0.2878161597810799,2014-01-03,2019-01-03
26,0.690782015686644,2014-01-03,2019-01-03
1,-0.3215039610213927,2015-01-03,2020-01-03
2,-0.18525015012991788,2015-01-03,2020-01-03
4,0.5300543319343678,2015-01-03,2020-01-03
8,0.287878636240318,2015-01-03,2020-01-03
13,0.4929726706747722,2015-01-03,2020-01-03
26,0.43148073391538616,2015-01-03,2020-01-03
1,-0.13757237292592103,2016-01-03,2021-01-03
2,-0.1677602224838935,2016-01-03,2021-01-03
4,0.25769210308018914,2016-01-03,2021-01-03
8,0.992645433920667,2016-01-03,2021-01-03
13,1.1723449762371643,2016-01-03,2021-01-03
26,1.1412898740560347,2016-01-03,2021-01-03
1,0.0316752933742337,2017-01-03,2022-01-03
2,-0.04018785769987123,2017-01-03,2022-01-03
4,0.24739458310706106,2017-01-03,2022-01-03
8,0.5478080682120983,2017-01-03,2022-01-03
13,0.9726646743384848,2017-01-03,2022-01-03
26,0.8878541459934952,2017-01-03,2022-01-03
1,0.029329965562382525,2018-01-03,2023-01-03
2,0.21935322398984858,2018-01-03,2023-01-03
4,0.5205587970548703,2018-01-03,2023-01-03
8,0.7418983195697427,2018-01-03,2023-01-03
13,0.9344503729238601,2018-01-03,2023-01-03
26,0.8410080193116124,2018-01-03,2023-01-03
1,0.5917450224913817,2019-01-03,2024-01-03
2,0.40976023592111976,2019-01-03,2024-01-03
4,0.45902715668158045,2019-01-03,2024-01-03
8,0.5127606916576023,2019-01-03,2024-01-03
13,0.8006451025853165,2019-01-03,2024-01-03
26,1.0223525007430063,2019-01-03,2024-01-03
1,0.6946033179753581,2020-01-03,2025-01-03
2,0.34469473860372185,2020-01-03,2025-01-03
4,0.26190920763710596,2020-01-03,2025-01-03
8,0.07482315407974938,2020-01-03,2025-01-03
13,0.7324590478670348,2020-01-03,2025-01-03
26,0.6142887632620626,2020-01-03,2025-01-03
1,0.47264681317945745,2021-01-03,2026-01-03
2,0.2882109056039448,2021-01-03,2026-01-03
4,0.1704838780621139,2021-01-03,2026-01-03
8,-0.2520929512500902,2021-01-03,2026-01-03
13,0.050210736838209376,2021-01-03,2026-01-03
26,0.12090852709431887,2021-01-03,2026-01-03
