Train Start,Train End,Test Start,Test End,Selected Lookback
2000-01-03,2005-01-03,2005-01-03,2006-01-03,8
2001-01-03,2006-01-03,2006-01-03,2007-01-03,26
2002-01-03,2007-01-03,2007-01-03,2008-01-03,26
2003-01-03,2008-01-03,2008-01-03,2009-01-03,8
2004-01-03,2009-01-03,2009-01-03,2010-01-03,4
2005-01-03,2010-01-03,2010-01-03,2011-01-03,8
2006-01-03,2011-01-03,2011-01-03,2012-01-03,8
2007-01-03,2012-01-03,2012-01-03,2013-01-03,8
2008-01-03,2013-01-03,2013-01-03,2014-01-03,8
2009-01-03,2014-01-03,2014-01-03,2015-01-03,4
2010-01-03,2015-01-03,2015-01-03,2016-01-03,8
2011-01-03,2016-01-03,2016-01-03,2017-01-03,4
2012-01-03,2017-01-03,2017-01-03,2018-01-03,4
2013-01-03,2018-01-03,2018-01-03,2019-01-03,4
2014-01-03,2019-01-03,2019-01-03,2020-01-03,26
2015-01-03,2020-01-03,2020-01-03,2021-01-03,4
2016-01-03,2021-01-03,2021-01-03,2022-01-03,13
2017-01-03,2022-01-03,2022-01-03,2023-01-03,13
2018-01-03,2023-01-03,2023-01-03,2024-01-03,13
2019-01-03,2024-01-03,2024-01-03,2025-01-03,26
2020-01-03,2025-01-03,2025-01-03,2026-01-03,13
2021-01-03,2026-01-03,2026-01-03,2026-02-20,1
